,National №,Type,Species,Height,Weight,Abilities,Local №
Articuno,144,Ice Flying,Freeze Pokémon,1.7 m (5′07″),55.4 kg (122.1 lbs),Pressure Snow Cloak,144  235  144  240  151  144 
Zapdos,145,Electric Flying,Electric Pokémon,1.6 m (5′03″),52.6 kg (116.0 lbs),Pressure Static,145  236  145  241  152  145 
Moltres,146,Fire Flying,Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),Pressure Flame Body,146  237  146  242  153  146 
Dratini,147,Dragon,Dragon Pokémon,1.8 m (5′11″),3.3 kg (7.3 lbs),Shed Skin Marvel Scale,147  241  147  246  145  281  379  147 
Dragonair,148,Dragon,Dragon Pokémon,4.0 m (13′01″),16.5 kg (36.4 lbs),Shed Skin Marvel Scale,148  242  148  247  146  282  380  148 
Dragonite,149,Dragon Flying,Dragon Pokémon,2.2 m (7′03″),210.0 kg (463.0 lbs),Inner Focus Multiscale,149  243  149  248  147  283  381  149 
Mewtwo,150,Psychic,Genetic Pokémon,2.0 m (6′07″) 2.3 m (7′07″) 1.5 m (4′11″),122.0 kg (269.0 lbs) 127.0 kg (280.0 lbs) 33.0 kg (72.8 lbs),Pressure Unnerve Steadfast Insomnia,150  249  150  254  151  150  150  249  150  254  151  150  150  249  150  254  151  150 
Mew,151,Psychic,New Species Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),Synchronize,151  250  151  255  151 
Chikorita,152,Grass,Leaf Pokémon,0.9 m (2′11″),6.4 kg (14.1 lbs),Overgrow Leaf Guard,001 
Bayleef,153,Grass,Leaf Pokémon,1.2 m (3′11″),15.8 kg (34.8 lbs),Overgrow Leaf Guard,002 
Meganium,154,Grass,Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs),Overgrow Leaf Guard,003 
Cyndaquil,155,Fire,Fire Mouse Pokémon,0.5 m (1′08″),7.9 kg (17.4 lbs),Blaze Flash Fire,004 
Quilava,156,Fire,Volcano Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs),Blaze Flash Fire,005 
Typhlosion,157,Fire,Volcano Pokémon,1.7 m (5′07″),79.5 kg (175.3 lbs),Blaze Flash Fire,006 
Totodile,158,Water,Big Jaw Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs),Torrent Sheer Force,007 
Croconaw,159,Water,Big Jaw Pokémon,1.1 m (3′07″),25.0 kg (55.1 lbs),Torrent Sheer Force,008 
Feraligatr,160,Water,Big Jaw Pokémon,2.3 m (7′07″),88.8 kg (195.8 lbs),Torrent Sheer Force,009 
Sentret,161,Normal,Scout Pokémon,0.8 m (2′07″),6.0 kg (13.2 lbs),Run Away Keen Eye Frisk,019 
Furret,162,Normal,Long Body Pokémon,1.8 m (5′11″),32.5 kg (71.7 lbs),Run Away Keen Eye Frisk,020 
Hoothoot,163,Normal Flying,Owl Pokémon,0.7 m (2′04″),21.2 kg (46.7 lbs),Insomnia Keen Eye Tinted Lens,015  106  106  015  117  212  019 
Noctowl,164,Normal Flying,Owl Pokémon,1.6 m (5′03″),40.8 kg (89.9 lbs),Insomnia Keen Eye Tinted Lens,016  107  107  016  118  213  020 
Ledyba,165,Bug Flying,Five Star Pokémon,1.0 m (3′03″),10.8 kg (23.8 lbs),Swarm Early Bird Rattled,030 
Ledian,166,Bug Flying,Five Star Pokémon,1.4 m (4′07″),35.6 kg (78.5 lbs),Swarm Early Bird Iron Fist,031 
Spinarak,167,Bug Poison,String Spit Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs),Swarm Insomnia Sniper,032 
Ariados,168,Bug Poison,Long Leg Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),Swarm Insomnia Sniper,033 
Crobat,169,Poison Flying,Bat Pokémon,1.8 m (5′11″),75.0 kg (165.3 lbs),Inner Focus Infiltrator,039  065  030  030  039  063  147  067  070  082 
Chinchou,170,Water Electric,Angler Pokémon,0.5 m (1′08″),12.0 kg (26.5 lbs),Volt Absorb Illuminate Water Absorb,174  181  176  147  190  201  257  220 
Lanturn,171,Water Electric,Light Pokémon,1.2 m (3′11″),22.5 kg (49.6 lbs),Volt Absorb Illuminate Water Absorb,175  182  177  148  191  202  258  221 
Pichu,172,Electric,Tiny Mouse Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),Static Lightning Rod,021  155  103  103  021  035  162  024  031  193 
Cleffa,173,Fairy,Star Shape Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),Cute Charm Magic Guard Friend Guard,040  099  099  040  088  210  272  254 
Igglybuff,174,Normal Fairy,Balloon Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),Cute Charm Competitive Friend Guard,043  137  043  281  119  142  134  167 
Togepi,175,Fairy,Spike Ball Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),Hustle Serene Grace Super Luck,046  173  046  257 
Togetic,176,Fairy Flying,Happiness Pokémon,0.6 m (2′00″),3.2 kg (7.1 lbs),Hustle Serene Grace Super Luck,047  174  047  258 
Natu,177,Psychic Flying,Tiny Bird Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),Synchronize Early Bird Magic Bounce,159  162  161  169  252  092 
Xatu,178,Psychic Flying,Mystic Pokémon,1.5 m (4′11″),15.0 kg (33.1 lbs),Synchronize Early Bird Magic Bounce,160  163  162  170  253  093 
Mareep,179,Electric,Wool Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),Static Plus,053 
Flaaffy,180,Electric,Wool Pokémon,0.8 m (2′07″),13.3 kg (29.3 lbs),Static Plus,054 
Ampharos,181,Electric,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),Static Plus Mold Breaker,055 
Bellossom,182,Grass,Flower Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),Chlorophyll Healer,086  091  086  108  094  058 
Marill,183,Water Fairy,Aqua Mouse Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs),Thick Fat Huge Power Sap Sipper,130  055  125  125  132  031  042  056 
Azumarill,184,Water Fairy,Aqua Rabbit Pokémon,0.8 m (2′07″),28.5 kg (62.8 lbs),Thick Fat Huge Power Sap Sipper,131  056  126  126  133  032  043  057 
Sudowoodo,185,Rock,Imitation Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),Sturdy Rock Head Rattled,106  093  093  107  130  031  038  253 
Politoed,186,Water,Frog Pokémon,1.1 m (3′07″),33.9 kg (74.7 lbs),Water Absorb Damp Drizzle,075 
Hoppip,187,Grass Flying,Cottonweed Pokémon,0.4 m (1′04″),0.5 kg (1.1 lbs),Chlorophyll Leaf Guard Infiltrator,067 
Skiploom,188,Grass Flying,Cottonweed Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),Chlorophyll Leaf Guard Infiltrator,068 
Jumpluff,189,Grass Flying,Cottonweed Pokémon,0.8 m (2′07″),3.0 kg (6.6 lbs),Chlorophyll Leaf Guard Infiltrator,069 
Aipom,190,Normal,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs),Run Away Pickup Skill Link,122  063  063  123  368 
Sunkern,191,Grass,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),Chlorophyll Solar Power Early Bird,102  103  020 
Sunflora,192,Grass,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs),Chlorophyll Solar Power Early Bird,103  104  021 
Yanma,193,Bug Flying,Clear Wing Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),Speed Boost Compound Eyes Frisk,101  183  101  286  087 
Wooper,194,Water Ground,Water Fish Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs),Damp Water Absorb Unaware,056  117  117  056  017  100 
Quagsire,195,Water Ground,Water Fish Pokémon,1.4 m (4′07″),75.0 kg (165.3 lbs),Damp Water Absorb Unaware,057  118  118  057  018  101 
Espeon,196,Psychic,Sun Pokémon,0.9 m (2′11″),26.5 kg (58.4 lbs),Synchronize Magic Bounce,184  167  188  095  081  127  157  200 
Umbreon,197,Dark,Moonlight Pokémon,1.0 m (3′03″),27.0 kg (59.5 lbs),Synchronize Inner Focus,185  168  189  096  082  128  158  201 
Murkrow,198,Dark Flying,Darkness Pokémon,0.5 m (1′08″),2.1 kg (4.6 lbs),Insomnia Super Luck Prankster,208  074  074  213  051  277  078 
Slowking,199,Water Psychic,Royal Pokémon,2.0 m (6′07″),79.5 kg (175.3 lbs),Oblivious Own Tempo Regenerator,082 
Misdreavus,200,Ghost,Screech Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs),Levitate,214  072  072  219  066  372 
Unown,201,Psychic,Symbol Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs),Levitate,061  114  114  061 
Wobbuffet,202,Psychic,Patient Pokémon,1.3 m (4′03″),28.5 kg (62.8 lbs),Shadow Tag Telepathy,107  161  108  119  168  217 
Girafarig,203,Normal Psychic,Long Neck Pokémon,1.5 m (4′11″),41.5 kg (91.5 lbs),Inner Focus Early Bird Sap Sipper,147  164  121  121  149  171 
Pineco,204,Bug,Bagworm Pokémon,0.6 m (2′00″),7.2 kg (15.9 lbs),Sturdy Overcoat,093 
Forretress,205,Bug Steel,Bagworm Pokémon,1.2 m (3′11″),125.8 kg (277.3 lbs),Sturdy Overcoat,094 
Dunsparce,206,Normal,Land Snake Pokémon,1.5 m (4′11″),14.0 kg (30.9 lbs),Serene Grace Run Away Rattled,052 
Gligar,207,Ground Flying,FlyScorpion Pokémon,1.1 m (3′07″),64.8 kg (142.9 lbs),Hyper Cutter Sand Veil Immunity,189  153  193  221  115 
Steelix,208,Steel Ground Steel Ground,Iron Snake Pokémon,9.2 m (30′02″) 10.5 m (34′05″),400.0 kg (881.8 lbs) 740.0 kg (1631.4 lbs),Rock Head Sturdy Sheer Force Sand Force,063  035  035  063  072  054  179  063  035  035  063  072  054  179 
Snubbull,209,Fairy,Fairy Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),Intimidate Run Away Rattled,123  125  071  258  339 
Granbull,210,Fairy,Fairy Pokémon,1.4 m (4′07″),48.7 kg (107.4 lbs),Intimidate Quick Feet Rattled,124  126  072  259  340 
Qwilfish,211,Water Poison,Balloon Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),Poison Point Swift Swim Intimidate,161  163  038  304 
Scizor,212,Bug Steel Bug Steel,Pincer Pokémon,1.8 m (5′11″) 2.0 m (6′07″),118.0 kg (260.1 lbs) 125.0 kg (275.6 lbs),Swarm Technician Light Metal Technician,111  196  112  137  276  366  111  196  112  137  276  366 
Shuckle,213,Bug Rock,Mold Pokémon,0.6 m (2′00″),20.5 kg (45.2 lbs),Sturdy Gluttony Contrary,166  168  232  014  227 
Heracross,214,Bug Fighting Bug Fighting,Single Horn Pokémon,1.5 m (4′11″) 1.7 m (5′07″),54.0 kg (119.0 lbs) 62.5 kg (137.8 lbs),Swarm Guts Moxie Skill Link,113  168  062  062  114  145  131  175  367  113  168  062  062  114  145  131  175  367 
Sneasel,215,Dark Ice,Sharp Claw Pokémon,0.9 m (2′11″),28.0 kg (61.7 lbs),Inner Focus Keen Eye Pickpocket,213  144  144  218  252  091  249  326  292 
Teddiursa,216,Normal,Little Bear Pokémon,0.6 m (2′00″),8.8 kg (19.4 lbs),Pickup Quick Feet Honey Gather,193  198  132 
Ursaring,217,Normal,Hibernator Pokémon,1.8 m (5′11″),125.8 kg (277.3 lbs),Guts Quick Feet Unnerve,194  199  133 
Slugma,218,Fire,Lava Pokémon,0.7 m (2′04″),35.0 kg (77.2 lbs),Magma Armor Flame Body Weak Armor,211  103  216  012  108 
Magcargo,219,Fire Rock,Lava Pokémon,0.8 m (2′07″),55.0 kg (121.3 lbs),Magma Armor Flame Body Weak Armor,212  104  217  013  109 
Swinub,220,Ice Ground,Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),Oblivious Snow Cloak Thick Fat,191  203  195  258  076  075 
Piloswine,221,Ice Ground,Swine Pokémon,1.1 m (3′07″),55.8 kg (123.0 lbs),Oblivious Snow Cloak Thick Fat,192  204  196  259  077  076 
Corsola,222,Water Rock Ghost,Coral Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs) 0.5 kg (1.1 lbs),Hustle Natural Cure Regenerator Weak Armor Cursed Body,171  180  173  237  146  189  112  135  236  171  180  173  237  146  189  112  135  236 
Remoraid,223,Water,Jet Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),Hustle Sniper Moody,172  132  132  174  235  144  143  148 
Octillery,224,Water,Jet Pokémon,0.9 m (2′11″),28.5 kg (62.8 lbs),Suction Cups Sniper Moody,173  133  133  175  236  145  144  149 
Delibird,225,Ice Flying,Delivery Pokémon,0.9 m (2′11″),16.0 kg (35.3 lbs),Vital Spirit Hustle Insomnia,190  194  254  090  081  095  078 
Mantine,226,Water Flying,Kite Pokémon,2.1 m (6′11″),220.0 kg (485.0 lbs),Swift Swim Water Absorb Water Veil,197  141  141  202  234  140  146  355 
Skarmory,227,Steel Flying,Armor Bird Pokémon,1.7 m (5′07″),50.5 kg (111.3 lbs),Keen Eye Sturdy Weak Armor,198  115  203  203  112  120  208  270 
Houndour,228,Dark Fire,Dark Pokémon,0.6 m (2′00″),10.8 kg (23.8 lbs),Early Bird Flash Fire Unnerve,209  176  214  075  289 
Houndoom,229,Dark Fire Dark Fire,Dark Pokémon,1.4 m (4′07″) 1.9 m (6′03″),35.0 kg (77.2 lbs) 49.5 kg (109.1 lbs),Early Bird Flash Fire Unnerve Solar Power,210  177  215  076  290  210  177  215  076  290 
Kingdra,230,Water Dragon,Dragon Pokémon,1.8 m (5′11″),152.0 kg (335.1 lbs),Swift Swim Sniper Damp,188  186  192  041  195 
Phanpy,231,Ground,Long Nose Pokémon,0.5 m (1′08″),33.5 kg (73.9 lbs),Pickup Sand Veil,195  165  200  172 
Donphan,232,Ground,Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs),Sturdy Sand Veil,196  166  201  173 
Porygon2,233,Normal,Virtual Pokémon,0.6 m (2′00″),32.5 kg (71.7 lbs),Trace Download Analytic,216  193  221  218  282 
Stantler,234,Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),Intimidate Frisk Sap Sipper,129  131 
Smeargle,235,Normal,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs),Own Tempo Technician Moody,157  159  124  058  070 
Tyrogue,236,Fighting,Scuffle Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs),Guts Steadfast Vital Spirit,143  145  107 
Hitmontop,237,Fighting,Handstand Pokémon,1.4 m (4′07″),48.0 kg (105.8 lbs),Intimidate Technician Steadfast,146  148  110 
Smoochum,238,Ice Psychic,Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),Oblivious Forewarn Hydration,152  154  083  109 
Elekid,239,Electric,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs),Static Vital Spirit,154  197  156  056  226  295 
Magby,240,Fire,Live Coal Pokémon,0.7 m (2′04″),21.4 kg (47.2 lbs),Flame Body Vital Spirit,150  200  152  053  166  200 
Miltank,241,Normal,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs),Thick Fat Scrappy Sap Sipper,149  151  126  138  171 
Blissey,242,Normal,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs),Natural Cure Serene Grace Healer,218  098  098  223  034  041 
Raikou,243,Electric,Thunder Pokémon,1.9 m (6′03″),178.0 kg (392.4 lbs),Pressure Inner Focus,238  243 
Entei,244,Fire,Volcano Pokémon,2.1 m (6′11″),198.0 kg (436.5 lbs),Pressure Inner Focus,239  244 
Suicune,245,Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),Pressure Inner Focus,240  245 
Larvitar,246,Rock Ground,Rock Skin Pokémon,0.6 m (2′00″),72.0 kg (158.7 lbs),Guts Sand Veil,244  249  292  102  247  383 
Pupitar,247,Rock Ground,Hard Shell Pokémon,1.2 m (3′11″),152.0 kg (335.1 lbs),Shed Skin,245  250  293  103  248  384 
Tyranitar,248,Rock Dark Rock Dark,Armor Pokémon,2.0 m (6′07″) 2.5 m (8′02″),202.0 kg (445.3 lbs) 255.0 kg (562.2 lbs),Sand Stream Unnerve Sand Stream,246  251  294  104  249  385  246  251  294  104  249  385 
Lugia,249,Psychic Flying,Diving Pokémon,5.2 m (17′01″),216.0 kg (476.2 lbs),Pressure Multiscale,247  252 
Ho-oh,250,Fire Flying,Rainbow Pokémon,3.8 m (12′06″),199.0 kg (438.7 lbs),Pressure Regenerator,248  253 
Celebi,251,Psychic Grass,Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),Natural Cure,251  256 
Treecko,252,Grass,Wood Gecko Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs),Overgrow Unburden,001 
Grovyle,253,Grass,Wood Gecko Pokémon,0.9 m (2′11″),21.6 kg (47.6 lbs),Overgrow Unburden,002 
Sceptile,254,Grass,Forest Pokémon,1.7 m (5′07″) 1.9 m (6′03″),52.2 kg (115.1 lbs) 55.2 kg (121.7 lbs),Overgrow Unburden Lightning Rod,003 
Torchic,255,Fire,Chick Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),Blaze Speed Boost,004 
Combusken,256,Fire Fighting,Young Fowl Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),Blaze Speed Boost,005 
Blaziken,257,Fire Fighting Fire Fighting,Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),Blaze Speed Boost Speed Boost,006 
Mudkip,258,Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),Torrent Damp,007 
Marshtomp,259,Water Ground,Mud Fish Pokémon,0.7 m (2′04″),28.0 kg (61.7 lbs),Torrent Damp,008 
Swampert,260,Water Ground Water Ground,Mud Fish Pokémon,1.5 m (4′11″) 1.9 m (6′03″),81.9 kg (180.6 lbs) 102.0 kg (224.9 lbs),Torrent Damp Swift Swim,009 
Poochyena,261,Dark,Bite Pokémon,0.5 m (1′08″),13.6 kg (30.0 lbs),Run Away Quick Feet Rattled,010  044  010 
Mightyena,262,Dark,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs),Intimidate Quick Feet Moxie,011  045  011 
Zigzagoon,263,Normal Dark Normal,TinyRaccoon Pokémon Tiny Raccoon Pokémon,0.4 m (1′04″),17.5 kg (38.6 lbs),Pickup Gluttony Quick Feet Pickup Gluttony Quick Feet,012 
Linoone,264,Normal Dark Normal,Rushing Pokémon,0.5 m (1′08″),32.5 kg (71.7 lbs),Pickup Gluttony Quick Feet Pickup Gluttony Quick Feet,013 
Wurmple,265,Bug,Worm Pokémon,0.3 m (1′00″),3.6 kg (7.9 lbs),Shield Dust Run Away,014  048  048  014 
Silcoon,266,Bug,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),Shed Skin,015  049  049  015 
Beautifly,267,Bug Flying,Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs),Swarm Rivalry,016  050  050  016 
Cascoon,268,Bug,Cocoon Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),Shed Skin,017  051  051  017 
Dustox,269,Bug Poison,Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),Shield Dust Compound Eyes,018  052  052  018 
Lotad,270,Water Grass,Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs),Swift Swim Rain Dish Own Tempo,019  055  019  036 
Lombre,271,Water Grass,Jolly Pokémon,1.2 m (3′11″),32.5 kg (71.7 lbs),Swift Swim Rain Dish Own Tempo,020  056  020  037 
Ludicolo,272,Water Grass,Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),Swift Swim Rain Dish Own Tempo,021  057  021  038 
Seedot,273,Grass,Acorn Pokémon,0.5 m (1′08″),4.0 kg (8.8 lbs),Chlorophyll Early Bird Pickpocket,022 
Nuzleaf,274,Grass Dark,Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),Chlorophyll Early Bird Pickpocket,023 
Shiftry,275,Grass Dark,Wicked Pokémon,1.3 m (4′03″),59.6 kg (131.4 lbs),Chlorophyll Early Bird Pickpocket,024 
Taillow,276,Normal Flying,TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),Guts Scrappy,025  019  025 
Swellow,277,Normal Flying,Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),Guts Scrappy,026  020  026 
Wingull,278,Water Flying,Seagull Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs),Keen Eye Hydration Rain Dish,027  119  119  212  017  027  040  047  062 
Pelipper,279,Water Flying,Water Bird Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),Keen Eye Drizzle Rain Dish,028  120  120  213  018  028  041  048  063 
Ralts,280,Psychic Fairy,Feeling Pokémon,0.4 m (1′04″),6.6 kg (14.6 lbs),Synchronize Trace Telepathy,029  157  064  029  120 
Kirlia,281,Psychic Fairy,Emotion Pokémon,0.8 m (2′07″),20.2 kg (44.5 lbs),Synchronize Trace Telepathy,030  158  065  030  121 
Gardevoir,282,Psychic Fairy Psychic Fairy,Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),Synchronize Trace Telepathy Pixilate,031  159  066  031  122  031  159  066  031  122 
Surskit,283,Bug Water,Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),Swift Swim Rain Dish,032  047  033  139  172 
Masquerain,284,Bug Flying,Eyeball Pokémon,0.8 m (2′07″),3.6 kg (7.9 lbs),Intimidate Unnerve,033  048  034  140  173 
Shroomish,285,Grass,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs),Effect Spore Poison Heal Quick Feet,034  035 
Breloom,286,Grass Fighting,Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs),Effect Spore Poison Heal Technician,035  036 
Slakoth,287,Normal,Slacker Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs),Truant,036  276  037 
Vigoroth,288,Normal,Wild Monkey Pokémon,1.4 m (4′07″),46.5 kg (102.5 lbs),Vital Spirit,037  277  038 
Slaking,289,Normal,Lazy Pokémon,2.0 m (6′07″),130.5 kg (287.7 lbs),Truant,038  278  039 
Nincada,290,Bug Ground,Trainee Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),Compound Eyes Run Away,042  111  043  104 
Ninjask,291,Bug Flying,Ninja Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),Speed Boost Infiltrator,043  112  044  105 
Shedinja,292,Bug Ghost,Shed Pokémon,0.8 m (2′07″),1.2 kg (2.6 lbs),Wonder Guard,044  113  045  106 
Whismur,293,Normal,Whisper Pokémon,0.6 m (2′00″),16.3 kg (35.9 lbs),Soundproof Rattled,045  140  046 
Loudred,294,Normal,Big Voice Pokémon,1.0 m (3′03″),40.5 kg (89.3 lbs),Soundproof Scrappy,046  141  047 
Exploud,295,Normal,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs),Soundproof Scrappy,047  142  048 
Makuhita,296,Fighting,Guts Pokémon,1.0 m (3′03″),86.4 kg (190.5 lbs),Thick Fat Guts Sheer Force,048  095  049  056  068 
Hariyama,297,Fighting,Arm Thrust Pokémon,2.3 m (7′07″),253.8 kg (559.5 lbs),Thick Fat Guts Sheer Force,049  096  050  057  069 
Azurill,298,Normal Fairy,Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),Thick Fat Huge Power Sap Sipper,054  124  124  030  041  055 
Nosepass,299,Rock,Compass Pokémon,1.0 m (3′03″),97.0 kg (213.8 lbs),Sturdy Magnet Pull Sand Force,060  155  164  093  061  198  254 
Skitty,300,Normal,Kitten Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),Cute Charm Normalize Wonder Skin,061  078  078  063 
Delcatty,301,Normal,Prim Pokémon,1.1 m (3′07″),32.6 kg (71.9 lbs),Cute Charm Normalize Wonder Skin,062  079  079  064 
Sableye,302,Dark Ghost Dark Ghost,Darkness Pokémon,0.5 m (1′08″),11.0 kg (24.3 lbs) 161.0 kg (354.9 lbs),Keen Eye Stall Prankster Magic Bounce,068  123  070  102  124  294  068  123  070  102  124  294 
Mawile,303,Steel Fairy Steel Fairy,Deceiver Pokémon,0.6 m (2′00″) 1.0 m (3′03″),11.5 kg (25.4 lbs) 23.5 kg (51.8 lbs),Hyper Cutter Intimidate Sheer Force Huge Power,069  063  071  125  295  069  063  071  125  295 
Aron,304,Steel Rock,Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),Sturdy Rock Head Heavy Metal,070  166  099  072 
Lairon,305,Steel Rock,Iron Armor Pokémon,0.9 m (2′11″),120.0 kg (264.6 lbs),Sturdy Rock Head Heavy Metal,071  167  100  073 
Aggron,306,Steel Rock Steel,Iron Armor Pokémon,2.1 m (6′11″) 2.2 m (7′03″),360.0 kg (793.7 lbs) 395.0 kg (870.8 lbs),Sturdy Rock Head Heavy Metal Filter,072  168  101  074  072  168  101  074 
Meditite,307,Fighting Psychic,Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs),Pure Power Telepathy,076  086  086  143  078 
Medicham,308,Fighting Psychic Fighting Psychic,Meditate Pokémon,1.3 m (4′03″),31.5 kg (69.4 lbs),Pure Power Telepathy Pure Power,077  087  087  144  079  077  087  087  144  079 
Electrike,309,Electric,Lightning Pokémon,0.6 m (2′00″),15.2 kg (33.5 lbs),Static Lightning Rod Minus,078  073  080  293  066 
Manectric,310,Electric,Discharge Pokémon,1.5 m (4′11″) 1.8 m (5′11″),40.2 kg (88.6 lbs) 44.0 kg (97.0 lbs),Static Lightning Rod Minus Intimidate,079  074  081  294  067  079  074  081  294  067 
Plusle,311,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),Plus Lightning Rod,080  096  082 
Minun,312,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),Minus Volt Absorb,081  097  083 
Volbeat,313,Bug,Firefly Pokémon,0.7 m (2′04″),17.7 kg (39.0 lbs),Illuminate Swarm Prankster,086  133  089 
Illumise,314,Bug,Firefly Pokémon,0.6 m (2′00″),17.7 kg (39.0 lbs),Oblivious Tinted Lens Prankster,087  134  090 
Roselia,315,Grass Poison,Thorn Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),Natural Cure Poison Point Leaf Guard,094  026  026  134  072  098  060 
Gulpin,316,Poison,Stomach Pokémon,0.4 m (1′04″),10.3 kg (22.7 lbs),Liquid Ooze Sticky Hold Gluttony,095  098  100 
Swalot,317,Poison,Poison Bag Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs),Liquid Ooze Sticky Hold Gluttony,096  099  101 
Carvanha,318,Water Dark,Savage Pokémon,0.8 m (2′07″),20.8 kg (45.9 lbs),Rough Skin Speed Boost,097  055  102  264  345 
Sharpedo,319,Water Dark Water Dark,Brutal Pokémon,1.8 m (5′11″) 2.5 m (8′02″),88.8 kg (195.8 lbs) 130.3 kg (287.3 lbs),Rough Skin Speed Boost Strong Jaw,098  056  103  265  346  098  056  103  265  346 
Wailmer,320,Water,Ball Whale Pokémon,2.0 m (6′07″),130.0 kg (286.6 lbs),Water Veil Oblivious Pressure,099  240  027  104  266  351  356 
Wailord,321,Water,Float Whale Pokémon,14.5 m (47′07″),398.0 kg (877.4 lbs),Water Veil Oblivious Pressure,100  241  028  105  267  352  357 
Numel,322,Fire Ground,Numb Pokémon,0.7 m (2′04″),24.0 kg (52.9 lbs),Oblivious Simple Own Tempo,101  204  106 
